Site_ID,ann_GPP,upper_GPP,ann_ER,lower_ER
AR-SLu,2577.91,10.50226,-1100.84,-4.733713
AR-Vir,4506.90333333333,20.3249,-5258.12333333333,-25.7785
AT-Neu,2246.07363636364,17.43136,-2605.36909090909,-16.86399
AU-Ade,1216.30866666667,8.8383975,-1048.33666666667,-6.4582425
AU-ASM,448.926333333333,3.3553225,-377.912,-2.450639
AU-Cpr,462.79872,2.9313855,-352.3216,-2.2375075
AU-Cum,1212.80333333333,4.94145,-916.189333333333,-4.9696875
AU-DaP,1205.9044,11.378365,-1070.7846,-6.9299875
AU-DaS,1592.09142857143,8.425446,-1349.44285714286,-6.756742
AU-Dry,1232.863,6.0070755,-909.483,-4.448114
AU-Emr,452.057666666667,3.425129,-520.322,-2.4312675
AU-Fog,916.184333333333,6.126332,-435.528333333333,-3.7343825
AU-Gin,1241.86,5.46321,-961.4245,-4.34319
AU-GWW,459.204,2.140933,-355.098,-2.0406155
AU-How,1846.29842857143,9.97457,-1209.39164285714,-6.173512
AU-Lox,1541.825,12.69865,-941.306,-6.83822
AU-RDF,762.935333333333,7.269886,-725.851666666667,-5.87151
AU-Rig,1057.9275,7.7999575,-908.17075,-4.51452
AU-Rob,1994.35,8.650186,-1250.4,-7.644694
AU-Stp,422.087,4.5230595,-340.04068,-2.39508
AU-Tum,3403.79,17.794455,-2721.06785714286,-15.22854
AU-Wac,2253.6675,10.93126,-765.64975,-5.87988
AU-Whr,1499.8275,6.5009275,-946.97725,-4.13252
AU-Wom,2366.275,10.84033,-1266.355,-6.665712
AU-Ync,347.785,3.965572,-309.23,-1.551542
BE-Bra,1388.35533333333,9.974616,-1276.3782,-6.446598
BE-Lon,1348.66636363636,16.8877,-1010.67663636364,-7.281158
BE-Vie,1817.35947368421,11.56488,-1291.75789473684,-7.5834405
BR-Sa3,3233.936,11.9742,-3032.9,-12.16339
CA-Man,718.591142857143,7.2822355,-689.592785714286,-6.6071265
CA-NS1,794.17625,6.701343,-696.73,-4.62814
CA-NS2,836.8144,5.883065,-538.0122,-3.690205
CA-NS3,663.0742,6.10882,-646.1954,-4.800705
CA-NS4,410.98125,5.110139,-409.8125,-3.98879
CA-NS5,835.6154,7.42924299999999,-653.8528,-5.349715
CA-NS6,377.5924,5.235665,-424.5692,-3.2381775
CA-NS7,418.47825,5.528251,-486.822,-3.8015
CA-Qfo,670.60225,5.670732,-636.38375,-4.7799235
CA-SF1,1063.94,8.2861155,-1185.6225,-8.56286
CA-SF2,1308.47,10.72908,-1172.103,-9.9975
CA-SF3,481.1074,4.634686,-540.2698,-4.0154675
CH-Cha,2474.054,16.48335,-2478.097,-14.7712
CH-Dav,1185.69211111111,8.0556885,-964.202166666667,-6.867983
CH-Fru,2171.598,14.9152,-1756.573,-11.068925
CH-Lae,1861.04727272727,12.40805,-1060.68972727273,-6.388659
CH-Oe1,1940.59285714286,13.792895,-1626.58571428571,-9.41512
CH-Oe2,1362.26745454545,14.124265,-1339.75909090909,-8.1941575
CN-Cha,1493.76,12.88925,-1216.04666666667,-9.659605
CN-Cng,544.46025,6.148914,-376.85525,-3.70588
CN-Dan,318.5575,2.7577875,-220.5355,-1.631745
CN-Din,1511.62333333333,6.997989,-966.799,-4.66381
CN-Du2,297.971,3.906185,-240.158,-3.10428
CN-Ha2,848.179,8.0154265,-678.601,-5.3920125
CN-HaM,478.7895,6.504257,-317.4035,-3.895235
CN-Qia,1757.51666666667,9.242274,-1200.52333333333,-6.4000725
CN-Sw2,361.298,1.31381,-4.6887722965,-1.52416e-06
CZ-BK1,1556.3625,11.018755,-822.184,-5.13227
CZ-BK2,NA,10.62244,NA,-6.55964
CZ-wet,1193.03333333333,10.843325,-1135.56566666667,-7.798009
DE-Akm,1368.44033333333,13.32731,-1363.66233333333,-9.487575
DE-Geb,1094.75885714286,14.724225,-879.065857142857,-6.64577
DE-Gri,1643.79181818182,12.425815,-1486.29772727273,-9.249999
DE-Hai,1643.60461538462,14.100575,-1079.24146153846,-5.934642
DE-Kli,1350.56590909091,14.40786,-1096.98772727273,-7.36288
DE-Lkb,468.7088,4.960532,-732.7534,-4.54095
DE-Obe,1809.88142857143,13.028465,-1435.14142857143,-8.73672
DE-RuR,1825.6525,11.35227,-1679.4375,-9.21271
DE-RuS,1666.535,15.82526,-1069.07975,-6.38341
DE-Seh,1617.4,13.94546,-950.7285,-6.03771
DE-SfN,1035.182,6.608427,-724.436,-5.1816
DE-Spw,1910.786,13.46006,-1370.774,-7.763155
DE-Tha,1946.65052631579,12.6366,-1321.05647368421,-8.117738
DK-Fou,1081.25,9.622783,-1063.62,-6.576296
DK-NuF,333.9198,4.019984,-350.7816,-2.68214
DK-Sor,2012.96210526316,16.589335,-1811.23789473684,-10.310445
DK-ZaF,334.706,5.31565,-246.46,-1.94337
DK-ZaH,103.881433333333,1.590714,-115.119888888889,-0.986181
ES-LgS,460.359,3.3171195,-335.958666666667,-1.92905
FI-Hyy,1159.51631578947,9.713284,-913.987,-6.140269
FI-Jok,434.9235,6.831872,-592.62025,-5.06338
FI-Lom,455.244,7.010398,-406.786666666667,-3.5925525
FI-Sod,628.492642857143,6.785406,-711.949642857143,-6.043052
FR-Fon,1816.767,14.31751,-1174.895,-6.9855575
FR-Gri,1565.59111111111,14.698775,-980.633777777778,-6.6992785
FR-LBr,1919.31076923077,10.691175,-1516.01230769231,-7.442866
FR-Pue,1215.60426666667,6.894056,-978.551133333333,-5.290933
GF-Guy,3719.72,13.1323,-3559.65727272727,-13.00139
IT-BCi,1849.58,17.56265,-1589.669,-9.419361
IT-CA1,1470.99,9.8855875,-1073.95325,-5.19992
IT-CA2,851.15,8.774166,-819.20275,-4.22547
IT-CA3,1226.09475,12.661715,-741.773,-4.56611
IT-Col,1635.64210526316,13.11271,-803.039368421053,-4.429568
IT-Cp2,2087.11333333333,9.193888,-1387.48333333333,-6.2965425
IT-Cpz,2014.72333333333,9.07472,-1452.14111111111,-7.1489235
IT-Isp,2095.795,15.30206,-2055.51,-9.8841645
IT-La2,2470.34,12.20959,-1091.64333333333,-7.0348425
IT-Lav,2245.63583333333,12.57485,-402.45825,-3.128439
IT-MBo,1428.95454545455,12.91221,-1384.71181818182,-9.5795955
IT-Noe,1097.71636363636,6.37952,-906.795727272727,-4.1302255
IT-PT1,1646.42333333333,13.28694,-1123.962,-6.6192775
IT-Ren,1421.75725,9.683902,-699.7,-4.6193835
IT-Ro1,1489.01,11.512475,-1219.29144444444,-7.006393
IT-Ro2,1460.617,12.477505,-771.6698,-4.53626
IT-SR2,2318.655,12.22285,-1985.595,-10.46181
IT-SRo,2097.20928571429,11.205795,-1698.53142857143,-9.12283
IT-Tor,1017.28271428571,9.4098265,-857.830285714286,-5.179152
JP-MBF,1034.805,10.240075,-652.4735,-4.910415
JP-SMF,1643.062,9.21968,-1635.016,-7.5761225
NL-Hor,1617.5675,10.80114,-1340.8975,-7.767316
NL-Loo,1623.00176470588,9.925045,-1235.82411764706,-6.488616
NO-Adv,358.151,4.34642,-290.608,-2.2562475
NO-Blv,40.6549,0.57980975,-38.553,-0.27817225
RU-Che,437.9545,4.8281775,-251.634,-2.52672
RU-Cok,385.4258,4.8880675,-232.07749,-2.41718
RU-Fyo,1486.90705882353,11.951245,-1628.11588235294,-11.18194
RU-Ha1,605.425,5.3855375,-447.471,-3.8472975
