Site_ID,ann_GPP_C,upper_GPP_C,ann_ER_C,lower_ER_C,PAR_sum,Stream_PAR_sum,gpp_C_mean,gpp_C_cv,gpp_C_skew,gpp_C_kurt,gpp_C_amp,gpp_C_phase,gpp_C_ar1,er_C_mean,er_C_cv,er_C_skew,er_C_kurt,er_C_amp,er_C_phase,er_C_ar1,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,MOD_ann_NPP
AZ_LV,155.469235828565,2.00900662242934,-167.482431812576,-1.71243022481676,15.8732985117168,15.6986688969072,0.43,0.68,0.53,0.2,0.95,43.2660329496609,0.831,-0.46,-0.58,-0.44,0.14,0.85,212.694938813377,0.513,20.29,0.17,0.01,-0.07,1.39,204.988789269434,0.784,5.91,0.41,0.4,0.09,0.9,11.864825868543,0.901,43.49,0.2,-0.04,-0.01,1.31,167.313995265606,0.4,0.34,0.04,0.31,0.23,1.02,7.52542487616615,0.844,49.4
AZ_OC,81.7669078105812,0.84250640853617,-177.751289755332,-1.10263559006084,14.7487777406928,13.2450772408319,0.22,0.51,0.49,0.32,0.87,206.643430882303,0.657,-0.49,-0.33,-0.22,0.17,0.97,61.0510779684172,0.535,14.07,0.18,0,-0.04,1.36,195.955910952849,0.788,0.93,0.13,0.6,0.62,0.12,274.081725193805,0.348,40.41,0.2,0.02,0.02,1.28,164.966892168208,0.299,0.56,0.17,-0.04,-0.07,1.41,185.476272497971,0.822,287.8
AZ_WB,106.284188383238,0.566697424337605,-561.215053531295,-2.19250392113452,14.9527778384376,13.6597566751031,0.29,0.28,0.19,0.09,0.96,60.4596089879045,0.375,-1.54,-0.16,-0.05,0.04,0.9,156.402471638645,0.51,14.96,0.16,0.02,-0.01,1.36,197.444907136313,0.834,0.22,0.07,0.08,0.11,1.1,320.001045342244,0.621,40.97,0.2,0.03,0.03,1.28,163.835257723115,0.292,0.57,0.18,0.06,0,1.33,209.8490422154,0.834,220
FL_SF2500,78.2387327760163,0.690175932567857,-1427.14705950719,-4.47783690208189,14.1501626418096,13.2758391382316,0.21,0.53,0.34,0.13,0.18,54.7529444158026,0.668,-3.91,-0.06,0.02,0.24,0.87,21.1028467648994,0.541,22.11,0.06,-0.16,0.09,1.27,206.141887509587,0.9,48.28,0.15,0.41,0.25,0.34,221.291700087221,0.955,38.77,0.19,-0.05,0.06,1.08,169.326793286855,0.302,5.21,0.16,-0.14,-0.03,1.34,166.695016258662,0.821,1195.7
FL_SF2800,191.698199437349,1.29872298311167,-1328.9598304201,-4.48332435827305,14.038442281836,13.1869549289514,0.53,0.35,0.22,0.16,0.31,127.850894335397,0.46,-3.64,-0.08,-0.12,0.14,0.33,26.6649100204373,0.4,22.09,0.07,-0.18,0.07,1.27,201.302435793844,0.862,66.99,0.14,0.28,0.21,0.74,215.55089427497,0.934,38.46,0.19,-0.05,0.05,1.07,170.205866677944,0.299,2.4,0.26,0,-0.05,1.36,166.745666234418,0.825,857.2
FL_WS1500,41.8332441340861,0.289260643928491,-1006.75059282467,-4.40939783475225,14.1478328928888,13.7314361988744,0.11,0.38,0.27,0.29,0.2,182.890675161959,0.135,-2.76,-0.2,-0.12,-0.02,0.51,3.97879000720005,0.807,20.44,0.15,-0.17,0.01,1.24,206.270474055867,0.83,17.8,0.5,0.42,0.22,0.22,200.288758605304,0.908,38.76,0.19,-0.05,0.07,1.06,168.483353556214,0.336,2.79,0.27,-0.03,-0.12,1.39,173.01550925004,0.821,830.5
MD_DRKR,651.269068797572,4.72736996890646,-974.491288386065,-4.975830731908,12.629359408176,7.08591527746377,1.78,0.42,0.31,0.11,0.82,63.6392635656995,0.093,-2.66,-0.21,-0.1,0.22,0.3,77.9356060666876,0.401,14.64,0.28,0,-0.01,1.35,208.521890095085,0.795,219.94,0.65,0.7,0.56,0.13,168.493881690333,0.347,34.51,0.26,0.03,-0.01,1.13,182.849926795589,0.25,1.63,0.38,0.12,-0.12,1.39,194.290103180886,0.82,620.6
NC_NHC,235.811051662663,1.81378648143753,-747.682793028905,-3.42860347141489,12.915377094942,5.80347954810884,0.65,0.4,0.25,0.15,0.87,87.8989151745374,0.779,-2.05,-0.21,-0.09,0.16,0.42,8.99427073242888,0.515,16.24,0.26,-0.06,-0.07,1.35,200.293207727578,0.812,0.53,0.7,0.57,0.33,0.45,363.501148104139,0.732,35.38,0.26,0.01,0.03,1.15,173.164006921474,0.258,2.95,0.4,0.09,-0.17,1.34,189.009541102572,0.92,397.5
NC_UNHC,145.371055151631,1.27079218466506,-551.480710251427,-3.34509191045642,13.0478014529856,5.11018460845886,0.4,0.47,0.32,0.15,1.02,96.903179032484,0.773,-1.51,-0.33,-0.25,0.13,0.21,54.7588078097614,0.64,15.91,0.24,-0.07,-0.03,1.32,198.567580875232,0.854,0.19,0.6,0.53,0.37,0.51,53.8597490923196,0.582,35.75,0.25,0,0.03,1.14,172.197460792841,0.271,3.13,0.4,0.08,-0.18,1.35,188.305252372635,0.916,394
NH_DCF,46.3191218519856,0.398211004574154,-711.371908518346,-4.02614055415236,11.5876977575688,2.65344242769584,0.13,0.51,0.32,0.14,0.78,196.836973576138,0.34,-1.95,-0.34,-0.06,0.07,0.56,36.1496828789866,0.253,9.56,0.48,0.07,-0.1,1.37,205.318867460892,0.768,0.18,0.59,0.57,0.4,0.53,53.6257304919158,0.589,31.75,0.3,0.05,-0.01,1.15,172.564535065434,0.083,2.77,0.45,0.2,-0.16,1.32,202.060074205593,0.874,744.4
nwis_01184000,1207.50314659117,12.1042040773489,-1504.40663167269,-9.96956066086384,12.018052734408,11.0964203030069,3.3,0.58,0.39,0.1,1.11,216.818309263733,0.641,-4.11,-0.4,-0.27,0.05,1.14,33.0807988603821,0.495,13.06,0.43,0.05,-0.08,1.39,210.678339730639,0.86,396.24,0.45,0.37,0.15,1.09,67.0093210479236,0.878,32.84,0.29,0.06,-0.01,1.17,176.260997272081,0.253,1.46,0.28,0.18,0.01,1.29,199.601005721556,0.841,628.3
nwis_01388000,104.447169110664,0.644777482953151,-308.474294713002,-1.97748233745698,11.855221262892,3.40636663714682,0.29,0.38,0.16,0.07,1.06,184.536963585663,0.33,-0.85,-0.35,-0.17,0.15,0.55,99.5853592847963,0.646,14.13,0.38,0,-0.06,1.39,201.753784058567,0.795,9.4,0.66,0.62,0.44,0.52,60.8032196376061,0.668,32.48,0.28,0.04,-0.02,1.15,172.890836573675,0.257,1.81,0.37,0.08,-0.1,1.37,192.4695069487,0.82,628.5
nwis_01400500,476.332945797152,2.92893032407838,-454.590026236072,-2.59756640827012,11.8802883853656,10.6077471812831,1.3,0.43,0.22,0.08,0.6,167.979923022947,0.864,-1.24,-0.34,-0.13,0.08,0.88,364.469175877431,0.665,14.17,0.35,-0.02,-0.02,1.32,200.776485484378,0.927,25.15,0.47,0.54,0.37,0.29,63.6104828747495,0.567,32.52,0.28,0.05,0,1.15,175.06688159997,0.226,1.07,0.35,0.09,-0.07,1.36,191.269185056236,0.937,610.748571428571
nwis_01408500,39.0815322300314,0.383045943539965,-430.339970986207,-2.49180256800756,12.8896729803576,3.79395910597494,0.11,0.49,0.33,0.19,0.44,151.513719406934,0.692,-1.18,-0.33,-0.12,0.06,1.02,24.3205839174698,0.333,13.31,0.3,-0.01,-0.04,1.37,202.247295400055,0.81,6.02,0.26,0.2,0.13,0.75,94.4532374419061,0.843,35.31,0.28,0.02,0,1.15,175.85430665102,0.112,1.83,0.36,0.27,-0.05,1.32,205.817690202577,0.829,770.028571428571
nwis_01463500,747.04720056546,6.11740337604367,-723.215485719236,-4.43441099082967,11.9061858144384,11.5641316568071,2.04,0.49,0.29,0.11,0.73,187.028542421437,0.914,-1.98,-0.34,-0.14,0.13,0.66,4.14664059949062,0.882,13.62,0.38,0.02,-0.05,1.37,205.019769859218,0.908,322.61,0.38,0.36,0.23,0.58,57.7794611794126,0.913,32.58,0.28,0.05,0,1.15,176.92477654972,0.246,1.07,0.35,0.13,-0.04,1.35,195.496262900903,0.956,496.228571428571
nwis_01480617,393.133612409131,2.73017858289696,-322.886461504724,-1.92882760466235,11.9467768305144,6.40513655682239,1.08,0.36,0.25,0.19,0.78,107.095578461314,0.754,-0.88,-0.38,-0.16,0.11,0.49,349.232475799204,0.892,13.76,0.27,0.02,-0.02,1.34,204.720881800867,0.89,2.1,0.39,0.44,0.29,0.36,60.289308688445,0.557,32.69,0.28,0.04,-0.01,1.16,177.102057989729,0.243,2.52,0.45,0.18,-0.14,1.34,198.200824531867,0.909,789.733333333333
nwis_01480870,425.267560586877,2.65705003807505,-458.192467509452,-2.68830952285735,11.9541254919464,10.503597823618,1.16,0.31,0.24,0.21,0.63,128.652343621801,0.823,-1.25,-0.29,-0.08,0.17,0.63,356.216629396083,0.805,13.52,0.29,0.01,-0.03,1.35,204.776723989021,0.875,4.43,0.42,0.41,0.26,0.32,53.7345692599191,0.682,32.72,0.28,0.04,-0.01,1.16,175.870244773884,0.242,1.14,0.4,0.16,-0.09,1.37,192.283420249887,0.902,681.466666666667
nwis_01481000,322.416117581442,2.07054217395354,-351.227250714765,-2.05656775431074,12.048129576392,10.0957695909921,0.88,0.38,0.17,0.07,0.83,158.763779051815,0.803,-0.96,-0.32,-0.14,0.11,0.94,9.8590307251715,0.732,13.74,0.31,0.02,-0.02,1.35,202.968422229764,0.891,13.12,0.41,0.42,0.28,0.36,58.240899097157,0.557,32.98,0.28,0.04,-0.01,1.16,176.098372344173,0.246,2.58,0.44,0.15,-0.15,1.35,196.359533702038,0.875,822.877777777778
nwis_01481500,304.670707310349,1.81350061875609,-307.614546947201,-2.17839400064078,12.392205417144,10.9986227060081,0.83,0.33,0.1,0.11,0.87,146.870764486747,0.505,-0.84,-0.4,-0.23,0.14,0.64,350.701175991342,0.816,14.79,0.31,0.03,-0.04,1.36,197.920134913605,0.836,11.39,0.39,0.46,0.35,0.44,23.8248380751095,0.468,33.86,0.27,0.03,-0.01,1.19,173.006453329148,0.271,1.2,0.23,0.07,-0.08,1.4,186.189259888523,0.812,643.7
nwis_01484525,81.5986407410727,0.590966677832779,-463.005203199167,-3.97184131010779,12.7992047080464,9.53091984200023,0.22,0.44,0.29,0.14,0.86,207.472218060442,0.211,-1.27,-0.44,-0.34,0.21,0.56,22.3317802383425,0.693,15.09,0.28,-0.05,-0.08,1.36,202.55072217239,0.828,3.75,0.28,0.28,0.23,0.4,141.721333023204,0.652,35.07,0.26,0,0.01,1.16,174.087145944658,0.098,1.08,0.28,0.1,-0.07,1.38,192.379903508864,0.819,743.483333333333
nwis_01493112,189.527471823478,2.03597691786795,-341.716266604059,-1.40256325845476,12.3559298899848,5.37271135030357,0.52,0.45,0.44,0.3,0.91,94.9437273116474,0.659,-0.93,-0.17,-0.02,0.21,0.86,270.90030359016,0.397,14.2,0.21,0.02,-0.05,1.36,203.301414941239,0.789,0.25,0.24,0.61,0.57,0.13,185.227636885633,0.255,33.76,0.27,0.06,0,1.13,181.186921527494,0.272,1.52,0.22,-0.07,0.03,1.16,173.209128724764,0.863,736.7
nwis_01567000,960.376170908343,6.75872700179354,-942.473296586309,-5.8666162791393,11.7295936807896,10.8113550995591,2.63,0.37,0.22,0.12,0.85,175.98842977576,0.822,-2.58,-0.35,-0.16,0.08,1.07,358.665072880339,0.589,13.49,0.38,0.02,-0.04,1.37,204.017121667196,0.882,100.71,0.41,0.29,0.14,0.74,61.7993843498507,0.848,32.09,0.28,0.03,-0.01,1.21,175.853626924107,0.223,1.51,0.38,0.17,-0.09,1.36,186.104233912507,0.878,665.870833333333
nwis_01570500,1261.56452160775,8.69130376801434,-1090.2012565973,-7.24952380180754,12.0859391538648,11.9971000293507,3.45,0.29,0.13,0.24,0.58,189.002668811831,0.738,-2.98,-0.3,-0.27,0.14,1.09,16.9027333395813,0.672,16.1,0.28,0.07,0.03,1.28,196.039465648727,0.817,676.9,0.41,0.25,0.03,0.83,75.6473988033077,0.865,33.02,0.27,0.02,-0.01,1.2,173.550889412603,0.243,0.72,0.32,0.04,-0.1,1.41,187.669740659011,0.81,274.88
nwis_01608500,462.450774993026,2.99139778723639,-349.207496986278,-2.52374020927071,11.870546716764,9.84735278413291,1.27,0.37,0.19,0.13,0.8,169.259896132895,0.829,-0.96,-0.42,-0.26,0.13,0.89,354.796994870308,0.641,14.46,0.36,0.01,-0.04,1.37,202.582786064336,0.89,38.84,0.58,0.49,0.3,0.63,78.0554242172089,0.724,32.48,0.28,0.03,-0.01,1.19,177.411933958948,0.209,2.8,0.43,0.14,-0.15,1.32,198.025283201471,0.934,638.085714285714
nwis_01611500,356.961259823488,2.6804660960212,-418.634066729372,-2.98024789739323,11.7881616981744,8.77318898142554,0.98,0.45,0.25,0.09,1.06,201.729168023093,0.71,-1.15,-0.44,-0.21,0.08,1,21.3686611129746,0.777,13.92,0.37,0,-0.04,1.37,200.859244907815,0.907,15.39,0.54,0.47,0.27,0.6,78.6662055413519,0.771,32.26,0.28,0.03,-0.01,1.17,176.313202844405,0.233,2.67,0.47,0.17,-0.16,1.33,196.633535445018,0.877,761.657142857143
nwis_01632900,189.308686400057,1.3209813860456,-308.01700191731,-1.55415328605152,12.285646067688,8.68363703896455,0.52,0.36,0.34,0.28,0.63,93.0104823924649,0.809,-0.84,-0.25,-0.12,0.13,0.77,341.414550816892,0.712,13.65,0.31,-0.04,-0.03,1.33,200.970007630136,0.9,2.05,0.47,0.48,0.32,0.57,84.0500229177593,0.659,33.63,0.26,0.02,0,1.18,174.989956096624,0.216,1.19,0.29,0.14,0,1.31,194.973953439504,0.964,705.2
nwis_01645704,47.8120535417255,0.376796626756369,-203.887078546433,-1.13839601763228,12.3088979604528,2.54978149192396,0.13,0.43,0.4,0.25,0.8,89.088598274543,0.706,-0.56,-0.28,-0.21,0.18,0.63,345.002076712312,0.411,13.64,0.31,-0.04,-0.02,1.35,201.54734534067,0.848,0.23,0.57,0.6,0.48,0.07,108.505560424235,0.219,33.7,0.27,0.02,-0.01,1.16,175.391182503447,0.228,2.9,0.41,0.09,-0.17,1.35,196.02442288451,0.922,463.771428571429
