Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage
AR-SLu,San Luis,-33.4648,-66.4598,2577.91,10.50226,-1100.84,-4.733713,1093,3,1
AR-Vir,Virasoro,-28.2395,-56.1886,4506.90333333333,20.3249,-5258.12333333333,-25.7785,1086,3,0.99
AT-Neu,Neustift,47.1167,11.3175,2246.07363636364,17.43136,-2605.36909090909,-16.86399,3493,11,0.87
AU-Ade,Adelaide River,-13.0769,131.1178,1216.30866666667,8.8383975,-1048.33666666667,-6.4582425,1096,3,1
AU-ASM,Alice Springs,-22.283,133.249,448.926333333333,3.3553225,-377.912,-2.450639,1366,4,0.94
AU-Cpr,Calperum,-34.0021,140.5891,462.79872,2.9313855,-352.3216,-2.2375075,1670,5,0.91
AU-Cum,Cumberland Plains,-33.6133,150.7225,1212.80333333333,4.94145,-916.189333333333,-4.9696875,1095,3,1
AU-DaP,Daly River Savanna,-14.0633,131.3181,1205.9044,11.378365,-1070.7846,-6.9299875,1608,5,0.88
AU-DaS,Daly River Cleared,-14.1593,131.3881,1592.09142857143,8.425446,-1349.44285714286,-6.756742,2549,7,1
AU-Dry,Dry River,-15.2588,132.3706,1232.863,6.0070755,-909.483,-4.448114,2550,7,1
AU-Emr,Emerald, Queensland, Australia,-23.8587,148.4746,452.057666666667,3.425129,-520.322,-2.4312675,999,3,0.91
AU-Fog,Fogg Dam,-12.5452,131.3072,916.184333333333,6.126332,-435.528333333333,-3.7343825,1084,3,0.99
AU-Gin,Gingin,-31.3764,115.7138,1241.86,5.46321,-961.4245,-4.34319,1461,4,1
AU-GWW,Great Western Woodlands, Western Australia, Australia,-30.1913,120.6541,459.204,2.140933,-355.098,-2.0406155,727,2,1
AU-How,Howard Springs,-12.4943,131.1523,1846.29842857143,9.97457,-1209.39164285714,-6.173512,5021,14,0.98
AU-Lox,Loxton,-34.4704,140.6551,1541.825,12.69865,-941.306,-6.83822,731,2,1
AU-RDF,Red Dirt Melon Farm, Northern Territory,-14.5636,132.4776,762.935333333333,7.269886,-725.851666666667,-5.87151,918,3,0.84
AU-Rig,Riggs Creek,-36.6499,145.5759,1057.9275,7.7999575,-908.17075,-4.51452,1346,4,0.92
AU-Rob,Robson Creek, Queensland, Australia,-17.1175,145.6301,1994.35,8.650186,-1250.4,-7.644694,362,1,0.99
AU-Stp,Sturt Plains,-17.1507,133.3502,422.087,4.5230595,-340.04068,-2.39508,1412,5,0.77
AU-Tum,Tumbarumba,-35.6566,148.1517,3403.79,17.794455,-2721.06785714286,-15.22854,5024,14,0.98
AU-Wac,Wallaby Creek,-37.4259,145.1878,2253.6675,10.93126,-765.64975,-5.87988,1457,4,1
AU-Whr,Whroo,-36.6732,145.0294,1499.8275,6.5009275,-946.97725,-4.13252,1460,4,1
AU-Wom,Wombat,-37.4222,144.0944,2366.275,10.84033,-1266.355,-6.665712,1094,3,1
AU-Ync,Jaxa,-34.9893,146.2907,347.785,3.965572,-309.23,-1.551542,309,1,0.85
BE-Bra,Brasschaat,51.3092,4.5206,1388.35533333333,9.974616,-1276.3782,-6.446598,5048,15,0.92
BE-Lon,Lonzee,50.5516,4.7461,1348.66636363636,16.8877,-1010.67663636364,-7.281158,3421,11,0.85
BE-Vie,Vielsalm,50.3051,5.9981,1817.35947368421,11.56488,-1291.75789473684,-7.5834405,6719,19,0.97
BR-Sa3,Santarem-Km83-Logged Forest,-3.018,-54.9714,3233.936,11.9742,-3032.9,-12.16339,1827,5,1
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.8796,-98.4808,718.591142857143,7.2822355,-689.592785714286,-6.6071265,3860,14,0.75
CA-NS1,UCI-1850 burn site,55.8792,-98.4839,794.17625,6.701343,-696.73,-4.62814,1098,4,0.75
CA-NS2,UCI-1930 burn site,55.9058,-98.5247,836.8144,5.883065,-538.0122,-3.690205,1408,5,0.77
CA-NS3,UCI-1964 burn site,55.9117,-98.3822,663.0742,6.10882,-646.1954,-4.800705,1460,5,0.8
CA-NS4,UCI-1964 burn site wet,55.9117,-98.3822,410.98125,5.110139,-409.8125,-3.98879,1055,4,0.72
CA-NS5,UCI-1981 burn site,55.8631,-98.485,835.6154,7.42924299999999,-653.8528,-5.349715,1383,5,0.76
CA-NS6,UCI-1989 burn site,55.9167,-98.9644,377.5924,5.235665,-424.5692,-3.2381775,1246,5,0.68
CA-NS7,UCI-1998 burn site,56.6358,-99.9483,418.47825,5.528251,-486.822,-3.8015,1035,4,0.71
CA-Qfo,Quebec - Eastern Boreal, Mature Black Spruce,49.6925,-74.3421,670.60225,5.670732,-636.38375,-4.7799235,2269,8,0.78
