Site_ID,Name,Source,Lat,Lon,epsg_crs,COMID,VPU,StreamOrde,Azimuth,TH,Width,Width_src,WS_area_km2,WS_area_src,ann_GPP_C,upper_GPP_C,ann_ER_C,lower_ER_C,PAR_sum,Stream_PAR_sum,gpp_C_mean,gpp_C_cv,gpp_C_skew,gpp_C_kurt,gpp_C_amp,gpp_C_phase,gpp_C_ar1,er_C_mean,er_C_cv,er_C_skew,er_C_kurt,er_C_amp,er_C_phase,er_C_ar1,Wtemp_mean,Wtemp_cv,Wtemp_skew,Wtemp_kurt,Wtemp_amp,Wtemp_phase,Wtemp_ar1,Disch_mean,Disch_cv,Disch_skew,Disch_kurt,Disch_amp,Disch_phase,Disch_ar1,PAR_mean,PAR_cv,PAR_skew,PAR_kurt,PAR_amp,PAR_phase,PAR_ar1,LAI_mean,LAI_cv,LAI_skew,LAI_kurt,LAI_amp,LAI_phase,LAI_ar1,MOD_ann_NPP,ndays,nyears,coverage
AZ_LV,Lower Verde River,StreamPULSE,33.5586,-111.669,4326,20440142,15,6,166.099248201301,0.5,20.1168,NWIS field measurements,15862.6494,NHDV2_vaa,155.469235828565,2.00900662242934,-167.482431812576,-1.71243022481676,15.8732985117168,15.7563873468726,0.43,0.68,0.53,0.2,0.95,43.2660329496609,0.831,-0.46,-0.58,-0.44,0.14,0.85,212.694938813377,0.513,20.28,0.17,0.01,-0.07,1.39,205.607238534937,0.799,5.7,0.41,0.39,0.11,0.92,15.0315682857821,0.881,43.49,0.2,-0.04,-0.01,1.31,167.313995265606,0.4,0.34,0.04,0.31,0.23,1.02,7.52542487616615,0.844,49.4,230,1,0.63
AZ_OC,Oak Creek,StreamPULSE,34.8616,-111.762,4326,20453378,15,5,208.400744797563,4.5,19.59864,NWIS field measurements,603.3501,NHDV2_vaa,81.7669078105812,0.84250640853617,-177.751289755332,-1.10263559006084,14.7487777406928,13.4760654072119,0.22,0.51,0.49,0.32,0.87,206.643430882303,0.657,-0.49,-0.33,-0.22,0.17,0.97,61.0510779684172,0.535,14.14,0.17,0.03,-0.06,1.36,196.369903264508,0.781,0.93,0.13,0.62,0.65,0.12,266.875034921074,0.348,40.41,0.2,0.02,0.02,1.28,164.966892168208,0.299,0.56,0.17,-0.04,-0.07,1.41,185.476272497971,0.822,287.8,311,1,0.85
AZ_WB,Wet Beaver Creek,StreamPULSE,34.6793,-111.695,4326,20454582,15,4,235.785436728484,5.2,8.80872,NWIS field measurements,299.718,NHDV2_vaa,106.284188383238,0.566697424337605,-561.215053531295,-2.19250392113452,14.9527778384376,12.582211095079,0.29,0.28,0.19,0.09,0.96,60.4596089879045,0.375,-1.54,-0.16,-0.05,0.04,0.9,156.402471638645,0.51,14.96,0.16,0.02,-0.01,1.36,197.444836125028,0.834,0.21,0.07,0.23,0.21,0.82,331.122020238649,0.706,40.97,0.2,0.03,0.03,1.28,163.835257723115,0.292,0.57,0.18,0.06,0,1.33,209.8490422154,0.834,220,229,1,0.63
FL_SF2500,Santa Fe 2500,StreamPULSE,29.8493,-82.7148,4326,2161822,03S,5,264.353318075858,24,49.3776,NWIS field measurements,2464.4655,NHDV2_vaa,78.2387327760163,0.690175932567857,-1427.14705950719,-4.47783690208189,14.1501626418096,10.0516831408489,0.21,0.53,0.34,0.13,0.18,54.7529444158026,0.668,-3.91,-0.06,0.02,0.24,0.87,21.1028467648994,0.541,22.06,0.06,-0.18,0.09,1.26,205.476591581459,0.902,48.34,0.15,0.41,0.24,0.35,221.482554603638,0.952,38.77,0.19,-0.05,0.06,1.08,169.326793286855,0.302,5.21,0.16,-0.14,-0.03,1.34,166.695026426229,0.821,1195.6999,252,1,0.69
FL_SF2800,Santa Fe 2800,StreamPULSE,29.9118,-82.8606,4326,2161876,03S,5,236.380437086384,21.5,62.484,NWIS field measurements,3314.6109,NHDV2_vaa,191.698199437349,1.29872298311167,-1328.9598304201,-4.48332435827305,14.038442281836,11.2591709725759,0.53,0.35,0.22,0.16,0.31,127.850894335397,0.46,-3.64,-0.08,-0.12,0.14,0.33,26.6649100204373,0.4,22.08,0.07,-0.18,0.07,1.27,201.040162511752,0.863,66.9,0.14,0.29,0.22,0.73,216.530096587431,0.934,38.46,0.19,-0.05,0.05,1.07,170.205866677944,0.299,2.4,0.26,0,-0.05,1.36,166.745666273038,0.825,857.2,248,1,0.68
FL_WS1500,Worthington Springs 1500,StreamPULSE,29.9219,-82.4262,4326,2161874,03S,5,283.570768149835,21.5,41.4528,NWIS field measurements,1499.1804,NHDV2_vaa,41.8332441340861,0.289260643928491,-1006.75059282467,-4.40939783475225,14.1478328928888,10.548138045169,0.11,0.38,0.27,0.29,0.2,182.890675161959,0.135,-2.76,-0.2,-0.12,-0.02,0.51,3.97879000720006,0.807,20.44,0.15,-0.17,0.01,1.24,206.265010293114,0.832,17.81,0.5,0.42,0.22,0.22,200.423258819084,0.908,38.76,0.19,-0.05,0.07,1.06,168.483353556214,0.336,2.79,0.27,-0.03,-0.12,1.39,173.017420128453,0.821,830.5,252,1,0.69
IN_SDW,Shatto Ditch Watershed-twostage,StreamPULSE,41.2216,-86.0447,4326,18487568,05,1,312.293699109824,0.5,2.667,NWIS field measurements,14.9256,NHDV2_vaa,191.421772440943,1.39421509806192,-401.32241536877,-2.30700225598851,11.3602568515632,10.3729320239671,0.52,0.48,0.36,0.19,0.88,132.545746187435,0.531,-1.1,-0.33,-0.33,0.25,0.73,314.296352739021,0.396,11.33,0.36,0,-0.01,1.37,205.96850487257,0.709,0.16,0.62,0.54,0.29,0.43,55.2020250053155,0.863,31.12,0.29,0.05,-0.01,1.21,178.753097769685,0.179,0.91,0.49,0.4,0.07,1.21,200.157853878128,0.845,542.7,248,1,0.68
MD_DRKR,Dead Run,StreamPULSE,39.3112,-76.7166,4326,11689186,02,2,93.3528895835262,18,6.7056,NWIS field measurements,20.5866,NHDV2_vaa,651.269068799007,4.72736996890646,-974.491288386065,-4.975830731908,12.629359408176,5.06312541698155,1.78,0.42,0.31,0.11,0.82,63.6392635659243,0.093,-2.66,-0.21,-0.1,0.22,0.3,77.9356060666876,0.401,14.64,0.28,0,-0.01,1.35,208.521890095085,0.795,219.94,0.65,0.7,0.56,0.13,168.493881690333,0.347,34.51,0.26,0.03,-0.01,1.13,182.849926795589,0.25,1.63,0.38,0.12,-0.12,1.39,194.290099981188,0.82,620.6,240,1,0.66
NC_NHC,New Hope Creek,StreamPULSE,35.9795,-79.0018,4326,8895490,03N,3,151.662014197728,21,9.3,StreamPULSE estimates,81.1656,NHDV2_vaa,235.811051662663,1.81378648143753,-747.682793028905,-3.42860347141489,12.915377094942,4.0650783592577,0.65,0.4,0.25,0.15,0.87,87.8989151745374,0.779,-2.05,-0.21,-0.09,0.16,0.42,8.99427073242888,0.515,16.14,0.26,-0.06,-0.07,1.35,199.538499686555,0.818,0.53,0.7,0.57,0.33,0.46,363.523652417436,0.732,35.38,0.26,0.01,0.03,1.15,173.164006921474,0.258,2.95,0.4,0.09,-0.17,1.34,189.009875153997,0.92,397.5,482,2,0.66
NC_UNHC,Upper New Hope Creek,StreamPULSE,35.9925,-79.046,4326,8895362,03N,3,44.4774502245726,22,10.9,StreamPULSE estimates,59.2038,NHDV2_vaa,145.271789240811,1.26556068696134,-551.956440271323,-3.34515595423407,13.0478014529856,4.32022286695995,0.4,0.47,0.32,0.15,1.02,96.9269464372405,0.773,-1.51,-0.33,-0.25,0.13,0.22,55.4994927160568,0.638,15.9,0.24,-0.07,-0.03,1.32,198.713248984856,0.852,0.19,0.6,0.54,0.36,0.5,54.8293220760922,0.581,35.75,0.25,0,0.03,1.14,172.197460792841,0.271,3.13,0.4,0.08,-0.18,1.35,188.305378155293,0.916,394,818,3,0.75
NH_DCF,Dowst- Cate Town Forest Stream,StreamPULSE,43.1347,-71.1839,4326,5847952,01,2,86.6467116412127,21,2.4635,StreamPULSE estimates,5.9292,NHDV2_vaa,46.3191218519856,0.398211004574154,-711.371908518346,-4.02614055415236,11.5876977575688,2.6533099994512,0.13,0.51,0.32,0.14,0.78,196.836973576138,0.34,-1.95,-0.34,-0.06,0.07,0.56,36.1496828789866,0.253,9.56,0.48,0.07,-0.1,1.37,205.3203109079,0.768,0.18,0.59,0.57,0.4,0.53,53.6257708466353,0.589,31.75,0.3,0.05,-0.01,1.15,172.564535065434,0.083,2.77,0.45,0.2,-0.16,1.32,202.060078318793,0.874,744.4,225,1,0.62
NH_GOF,Merrimack River at Goffs Falls,StreamPULSE,42.9481,-71.4633,4326,6745688,01,7,147.572749921539,21,174.0408,NWIS field measurements,7987.3641,NHDV2_vaa,154.425068563385,0.880220360551229,-188.21987876974,-1.01638322711933,11.9187981030888,10.9716634328803,0.42,0.39,0.13,-0.03,1.01,177.61306975907,0.613,-0.52,-0.31,-0.12,0.09,0.82,28.0779215862561,0.588,11.64,0.47,0.06,-0.1,1.38,213.599213555859,0.831,123.74,0.37,0.37,0.24,0.58,74.6772934805528,0.835,32.65,0.28,0.05,-0.01,1.17,175.931668478002,0.11,1.07,0.35,0.2,-0.08,1.36,207.257034684265,0.823,596.4,328,1,0.9
nwis_01184000,CONNECTICUT RIVER AT THOMPSONVILLE, CT,USGS (Powell Center),41.9873,-72.6054,4269,7700898,01,6,175.423829581835,20,324.612,NWIS field measurements,25008.6483,NHDV2_vaa,1207.50314659117,12.1042040773489,-1504.40663167269,-9.96956066086384,12.018052734408,11.3380073448375,3.3,0.58,0.39,0.1,1.11,216.818309263733,0.641,-4.11,-0.4,-0.27,0.05,1.14,33.0807988603821,0.495,13.06,0.43,0.05,-0.08,1.39,210.678339730639,0.86,396.24,0.45,0.37,0.15,1.09,67.0093210479236,0.878,32.84,0.29,0.06,-0.01,1.17,176.260997272081,0.253,1.47,0.28,0.16,-0.01,1.33,200.289569953456,0.825,628.3,234,1,0.64
nwis_01388000,Ramapo River at Pompton Lakes NJ,USGS (Powell Center),40.9919,-74.28,4269,6250614,02,4,187.598049934823,3,26.76144,NWIS field measurements,415.683,NHDV2_vaa,104.447169110664,0.644777482953151,-308.474294713002,-1.97748233745698,11.855221262892,10.7100824938208,0.29,0.38,0.16,0.07,1.06,184.536963585663,0.33,-0.85,-0.35,-0.17,0.15,0.55,99.5853592847963,0.646,14.13,0.38,0,-0.06,1.39,201.753784058567,0.795,9.4,0.66,0.62,0.44,0.52,60.8032196376061,0.668,32.48,0.28,0.04,-0.02,1.15,172.890836573675,0.257,1.81,0.37,0.08,-0.1,1.37,192.4695069487,0.82,601.9,273,1,0.75
nwis_01400500,Raritan River at Manville NJ,USGS (Powell Center),40.5556,-74.5828,4269,9513852,02,5,91.0380341678732,8.7,53.6448,NWIS field measurements,1274.0643,NHDV2_vaa,475.22664874148,2.9546786256127,-456.836563153364,-2.57670927462947,11.9148362344431,11.1132016556154,1.3,0.43,0.22,0.07,0.65,173.772903822203,0.861,-1.25,-0.33,-0.13,0.08,0.9,0.657647178956957,0.66,14.15,0.35,-0.02,-0.02,1.33,201.926314110333,0.927,24.36,0.47,0.53,0.36,0.33,62.8568270358804,0.575,32.62,0.28,0.05,0,1.15,175.600910908547,0.232,1.06,0.35,0.09,-0.08,1.36,192.321185075737,0.937,616.905,2277,8,0.78
nwis_01408500,Toms River near Toms River NJ,USGS (Powell Center),39.9864,-74.2233,4269,9453743,02,4,160.040201703017,18.5,16.77924,NWIS field measurements,330.8598,NHDV2_vaa,39.0815322300314,0.383045943539965,-430.339970986207,-2.49180256800756,12.8896729803576,6.5404230043731,0.11,0.49,0.33,0.19,0.44,151.513719406934,0.692,-1.18,-0.33,-0.12,0.06,1.02,24.3205839174698,0.333,13.31,0.3,-0.01,-0.04,1.37,202.247295400055,0.81,6.02,0.26,0.2,0.13,0.75,94.4532374419061,0.843,35.31,0.28,0.02,0,1.15,175.85430665102,0.112,1.83,0.36,0.27,-0.05,1.32,205.817690202577,0.829,774.007142857143,233,1,0.64
nwis_01463500,Delaware River at Trenton NJ,USGS (Powell Center),40.2217,-74.7781,4269,2590277,02,6,121.509792688174,9,350.52,NWIS field measurements,17573.6097,NHDV2_vaa,747.04720056546,6.11740337604367,-723.215485719236,-4.43441099082967,11.9061858144384,11.7015546320605,2.04,0.49,0.29,0.11,0.73,187.028542421437,0.914,-1.98,-0.34,-0.14,0.13,0.66,4.14664059949062,0.882,13.62,0.38,0.02,-0.05,1.37,205.019769859218,0.908,322.61,0.38,0.36,0.23,0.58,57.7794611794126,0.913,32.58,0.28,0.05,0,1.15,176.92477654972,0.246,1.07,0.35,0.13,-0.04,1.35,195.44614199043,0.956,496.228571428571,2001,7,0.78
nwis_01480617,West Branch Brandywine Creek at Modena, PA,USGS (Powell Center),39.9618,-75.8013,4269,4650580,02,3,121.38454349414,15,25.2984,NWIS field measurements,143.2746,NHDV2_vaa,393.133612409459,2.73017858289696,-322.886461504719,-1.92882760466235,11.9467768305144,8.1176937992663,1.08,0.36,0.25,0.19,0.78,107.095578461175,0.754,-0.88,-0.38,-0.16,0.11,0.49,349.232475799206,0.892,13.76,0.27,0.02,-0.02,1.34,204.720881800867,0.89,2.1,0.39,0.44,0.29,0.36,60.2893086882246,0.557,32.69,0.28,0.04,-0.01,1.16,177.102057989729,0.243,2.52,0.45,0.18,-0.14,1.34,198.200822920872,0.909,789.733333333333,1510,6,0.69
nwis_01480870,East Branch Brandywine Creek below Downingtown, PA,USGS (Powell Center),39.9687,-75.6733,4269,4650548,02,4,148.867530605284,22.1,18.5166,NWIS field measurements,232.6617,NHDV2_vaa,425.267560586877,2.65705003807505,-458.192467509452,-2.68830952285735,11.9541254919464,7.1234270697929,1.16,0.31,0.24,0.21,0.63,128.652343621801,0.823,-1.25,-0.29,-0.08,0.17,0.63,356.216629396083,0.805,13.52,0.29,0.01,-0.03,1.35,204.776723988951,0.875,4.43,0.42,0.41,0.26,0.32,53.7345692599191,0.682,32.72,0.28,0.04,-0.01,1.16,175.870244773884,0.242,1.14,0.4,0.16,-0.09,1.37,192.283421892429,0.902,681.466666666667,2218,9,0.67
nwis_01481000,Brandywine Creek at Chadds Ford, PA,USGS (Powell Center),39.8698,-75.5933,4269,4652046,02,5,141.221437087737,16,29.29128,NWIS field measurements,746.2791,NHDV2_vaa,322.416117581442,2.07054217395354,-351.227250714765,-2.05656775431074,12.048129576392,8.00027080006956,0.88,0.38,0.17,0.07,0.83,158.763779051815,0.803,-0.96,-0.32,-0.14,0.11,0.94,9.8590307251715,0.732,13.74,0.31,0.02,-0.02,1.35,202.968422229764,0.891,13.12,0.41,0.42,0.28,0.36,58.2408991033957,0.557,32.98,0.28,0.04,-0.01,1.16,176.098372344173,0.246,2.58,0.44,0.15,-0.15,1.35,196.359827022362,0.875,822.877777777778,2337,9,0.71
nwis_01481500,BRANDYWINE CREEK AT WILMINGTON, DE,USGS (Powell Center),39.7695,-75.5767,4269,4655440,02,5,141.89199844253,16.8,34.7472,NWIS field measurements,824.9895,NHDV2_vaa,297.028880979739,1.73643886297077,-290.773824790226,-1.98005145690227,12.316229214786,9.18305190469765,0.81,0.34,0.12,0.07,0.85,159.608947080466,0.561,-0.79,-0.38,-0.19,0.12,0.69,2.56476898664387,0.809,14.51,0.33,0.02,-0.03,1.36,201.409780472824,0.859,10.93,0.4,0.44,0.33,0.51,47.8058240166256,0.455,33.65,0.27,0.04,-0.01,1.17,177.179339480853,0.283,1.2,0.27,0.18,-0.02,1.35,187.960527935112,0.932,643.633333333333,649,2,0.89
nwis_01484525,MILLSBORO POND OUTLET AT MILLSBORO, DE,USGS (Powell Center),38.5946,-75.291,4269,8407597,02,4,71.6050073388488,3,20.4216,NWIS field measurements,161.6238,NHDV2_vaa,81.5986407410727,0.590966677832779,-463.005203199167,-3.97184131010779,12.7992047080464,11.9174147995365,0.22,0.44,0.29,0.14,0.86,207.472218060442,0.211,-1.27,-0.44,-0.34,0.21,0.56,22.3317802383426,0.693,15.09,0.28,-0.05,-0.08,1.36,202.55072217239,0.828,3.75,0.28,0.28,0.23,0.4,141.721333023204,0.652,35.07,0.26,0,0.01,1.16,174.087145944658,0.098,1.08,0.28,0.1,-0.07,1.38,192.379903508864,0.819,773.6,280,1,0.77
