Site_ID,ann_GPP,upper_GPP,ann_ER,lower_ER
AR-SLu,2577.91,10.50032,-1100.84,-4.733713
AR-Vir,4506.90333333333,20.3161,-5258.12333333333,-25.7785
AT-Neu,2246.07363636364,17.05849,-2605.36909090909,-16.86399
AU-Ade,1216.30866666667,8.8383975,-1048.33666666667,-6.4582425
AU-ASM,448.926333333333,3.1276275,-377.912,-2.450639
AU-Cpr,462.79872,2.866175,-352.3216,-2.2375075
AU-Cum,1212.80333333333,4.940575,-916.189333333333,-4.9696875
AU-DaP,1178.66314285714,11.20415,-1009.92528571429,-6.9299875
AU-DaS,1592.09142857143,8.424642,-1349.44285714286,-6.756742
AU-Dry,1232.863,6.005742,-909.483,-4.448114
AU-Emr,452.057666666667,3.3560375,-520.322,-2.4312675
AU-Fog,916.184333333333,6.1073,-435.528333333333,-3.7343825
AU-Gin,1241.86,5.46321,-961.4245,-4.34319
AU-GWW,459.204,2.1404995,-355.098,-2.0406155
AU-How,1846.29842857143,9.949888,-1209.39164285714,-6.173512
AU-Lox,1541.825,12.69865,-941.306,-6.83822
AU-RDF,762.935333333333,7.10369,-725.851666666667,-5.87151
AU-Rig,1057.9275,7.695,-908.17075,-4.51452
AU-Rob,1994.35,8.635804,-1250.4,-7.644694
AU-Stp,373.817285714286,4.21533999999999,-318.994771428571,-2.39508
AU-Tum,3403.79,17.74526,-2721.06785714286,-15.22854
AU-Wac,2253.6675,10.9258,-765.64975,-5.87988
AU-Whr,1499.8275,6.50032,-946.97725,-4.13252
AU-Wom,2366.275,10.84004,-1266.355,-6.665712
AU-Ync,85.4796233333333,3.78974,-205.92,-1.551542
BE-Bra,1388.35533333333,9.864777,-1276.3782,-6.446598
BE-Lon,1348.66636363636,16.456805,-1010.67663636364,-7.281158
BE-Vie,1817.35947368421,11.53391,-1291.75789473684,-7.5834405
BR-Sa3,3233.936,11.9742,-3032.9,-12.16339
CA-Man,640.0386,6.7062895,-653.452666666667,-6.6071265
CA-NS1,794.17625,6.45414,-696.73,-4.62814
CA-NS2,836.8144,5.741325,-538.0122,-3.690205
CA-NS3,663.0742,5.8379625,-646.1954,-4.800705
CA-NS4,410.98125,4.67823,-409.8125,-3.98879
CA-NS5,835.6154,7.13857,-653.8528,-5.349715
CA-NS6,377.5924,4.9483925,-424.5692,-3.2381775
CA-NS7,418.47825,5.11869,-486.822,-3.8015
CA-Qfo,670.60225,5.5033325,-636.38375,-4.7799235
CA-SF1,1063.94,8.13843,-1185.6225,-8.56286
CA-SF2,1308.47,10.621825,-1172.103,-9.9975
CA-SF3,481.1074,4.48978,-540.2698,-4.0154675
CH-Cha,2474.054,16.42399,-2478.097,-14.7712
CH-Dav,1185.69211111111,7.9300235,-964.202166666667,-6.867983
CH-Fru,2171.598,14.746405,-1756.573,-11.068925
CH-Lae,1861.04727272727,12.23745,-1060.68972727273,-6.388659
CH-Oe1,1940.59285714286,13.75436,-1626.58571428571,-9.41512
CH-Oe2,1362.26745454545,13.87406,-1339.75909090909,-8.1941575
CN-Cha,1493.76,12.754875,-1216.04666666667,-9.659605
CN-Cng,544.46025,5.87944,-376.85525,-3.70588
CN-Dan,318.5575,2.749315,-220.5355,-1.631745
CN-Din,1511.62333333333,6.991065,-966.799,-4.66381
CN-Du2,297.971,3.75916,-240.158,-3.10428
CN-Ha2,848.179,8.0143975,-678.601,-5.3920125
CN-HaM,492.378333333333,6.093685,-391.981333333333,-3.895235
CN-Qia,1757.51666666667,9.2416275,-1200.52333333333,-6.4000725
CN-Sw2,256.535366666667,1.31381,-75.663181531,-1.52416e-06
CZ-BK1,1556.3625,10.85865,-822.184,-5.13227
CZ-BK2,NA,10.30823,NA,-6.55964
CZ-wet,1193.03333333333,10.72632,-1135.56566666667,-7.798009
DE-Akm,1368.44033333333,13.03905,-1363.66233333333,-9.487575
DE-Geb,1094.75885714286,14.11696,-879.065857142857,-6.64577
DE-Gri,1643.79181818182,12.32922,-1486.29772727273,-9.249999
DE-Hai,1643.60461538462,13.7808,-1079.24146153846,-5.934642
DE-Kli,1350.56590909091,14.08137,-1096.98772727273,-7.36288
DE-Lkb,468.7088,4.700565,-732.7534,-4.54095
DE-Obe,1809.88142857143,12.92028,-1435.14142857143,-8.73672
DE-RuR,1825.6525,11.3034,-1679.4375,-9.21271
DE-RuS,1666.535,15.6494,-1069.07975,-6.38341
DE-Seh,1617.4,13.7089,-950.7285,-6.03771
DE-SfN,1035.182,6.5937175,-724.436,-5.1816
DE-Spw,1910.786,13.44055,-1370.774,-7.763155
DE-Tha,1946.65052631579,12.56006,-1321.05647368421,-8.117738
